date,value,site_no,station_nm,lat,lon
2024-01-01,5.9,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-02,4.8,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-03,4.0,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-04,3.0,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-05,2.7,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-06,2.9,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-07,2.9,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-08,2.5,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-09,17.0,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-10,7.3,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-11,3.0,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-12,2.9,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-13,4.2,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-14,4.5,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-15,5.0,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-16,6.0,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-17,5.7,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-18,5.6,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-19,7.9,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-20,7.3,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-21,7.6,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-22,8.0,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-23,7.5,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-24,6.9,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-25,5.9,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-26,5.4,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-27,4.5,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-28,5.2,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-29,6.9,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-30,14.8,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-01-31,13.9,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-01,9.7,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-02,6.9,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-03,8.5,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-04,9.6,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-05,13.2,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-06,7.1,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-07,7.7,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-08,8.8,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-09,5.0,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-10,4.4,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-11,3.8,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-12,4.1,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-14,2.3,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-15,2.5,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-16,2.4,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-17,2.5,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-18,2.5,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-19,2.2,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-20,2.5,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-21,2.3,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-22,2.2,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-23,2.4,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-24,3.6,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-25,2.5,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-26,4.8,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-27,2.0,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-28,2.6,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-02-29,2.8,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-03-01,1.8,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-03-02,1.8,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-03-03,2.3,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-03-04,3.3,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-03-05,2.5,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-03-06,2.8,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-03-07,1.8,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-03-08,4.2,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-03-09,2.1,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-03-10,1.8,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-03-11,1.8,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-03-12,1.9,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-03-13,1.6,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-03-14,1.8,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-03-16,20.5,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-03-17,10.6,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-03-18,2.5,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-03-19,3.7,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
2024-03-20,3.5,14149011,MF WILLAMETTE R BLW LOOKOUT POINT DAM NR LOWELL OR,43.91378056,-122.7556472
